item_id,category_name,item_description,item_title,business_line,tf_code
1346719,خشکبار,±۵۰ گرم,خرما خاصویی 250 گرم,,23kw6w
1346720,خشکبار,±۵۰ گرم,خرما زاهدی 250 گرم,,23kw6w
1346721,خشکبار,±۵۰ گرم,خرما پیارم متوسط 250 گرم,,23kw6w
1355755,کیک و دسر,"خمیر هزارلایه، ارده دست ساز، خرما عسلی، کرم پتیسیر، کره حیوانی ",گلت ارده و خرما,Cafe,5mm9gw
1355927,خرما,± 50 گرم,خرما پیارم ۱۰۰ گرم,,56rpr9
1355929,خرما,± 50 گرم,خرما زاهدی ۱۰۰ گرم,,56rpr9
1355930,خرما,± 50 گرم,خرما ربی ۱۰۰ گرم,,56rpr9
1366118,صبحانه,,شله زرد (400 گرم),Restaurant,51ok84
1366119,صبحانه,,فرنی (400 گرم),Restaurant,51ok84
1367527,شیرینی رژیمی ,± 50 گرم,کوکی رژیمی خرما یک کیلوگرم,Pastry,2llmwr
1367540,شیرینی خشک,"± 50 گرم، زولبیا و بامیه، شهد زعفرانی، مناسب مراسم مذهبی و پذیرایی همراه چای",زولبیا بامیه ممتاز زعفرانی یک کیلوگرم,Pastry,2llmwr
1367601,خرما,± 50 گرم,خرما کبکاب صادراتی (یک کیلوگرم),Pastry,2llmwr
1367602,خرما,± 50 گرم,خرما مرداب سنگ جواهر سیاه (700 گرم),Pastry,2llmwr
1367603,خرما,± 50 گرم,خرما زاهدی یک کیلوگرم,Pastry,2llmwr
1367604,خرما,"± 50 گرم، دارای قند طبیعی، کم کالری و بدون مواد نگهدارنده",خرما ربی یک کیلوگرم,Pastry,2llmwr
1367605,خرما,"± 50 گرم، دارای قند طبیعی، کم کالری و بدون مواد نگهدارنده",خرما پیارم یک کیلوگرم,Pastry,2llmwr
1367621,ترحیم,تزئین شده با پسته و گردو,حلوا کپسول سه آرد مخصوص (900 گرم الی یک کیلوگرم),Pastry,2llmwr
1367623,ترحیم,"آرد نخود، آرد برنج، آرد گندم، کره، زعفران، هل، شکر، گلاب",تارت حلوا (900 گرم الی یک کیلوگرم),Pastry,2llmwr
1367624,ترحیم,,خرما مغزدار (900 گرم الی یک کیلوگرم),Pastry,2llmwr
1367626,ترحیم,"± 50 گرم، آرد، زعفران، کره، گلاب، روغن، شکر، هل",حلوا پرسی (500 گرم),Pastry,2llmwr
